flight,timestamp,altitude,latitude,longitude
LH421,1530270000,0.00E+00,3.95E+01,-7.29E+01
LH423,1530270000,0.00E+00,4.21E+01,-7.07E+01
LH438,1530270000,3.60E+04,5.54E+01,-8.47E+00
LH440,1530270000,3.60E+04,5.69E+01,-9.24E+00
LH442,1530270000,3.60E+04,5.72E+01,-1.63E+01
LH444,1530270000,3.40E+04,5.16E+01,-1.15E+00
LH454,1530270000,3.60E+04,5.83E+01,-1.06E+01
LH456,1530270000,3.40E+04,5.77E+01,-1.15E+01
LH462,1530270000,3.60E+04,5.20E+01,-5.08E+00
LH475,1530270000,0.00E+00,4.53E+01,-7.34E+01
LH490,1530270000,3.30E+04,5.82E+01,-1.03E+01
LH501,1530270000,0.00E+00,-2.49E+01,-4.49E+01
LH519,1530270000,3.70E+04,4.69E+01,-2.96E+01
LH8164,1530270000,3.40E+04,5.57E+01,-1.35E+01
LH8175,1530270000,3.06E+04,5.43E+01,-3.49E+01
LH8189,1530270000,2.90E+04,5.78E+01,-5.12E+01
LH8250,1530270000,3.24E+04,2.30E+01,-2.57E+01
UA119,1530270000,2.40E+04,5.62E+01,-5.07E+00
UA121,1530270000,3.30E+04,4.32E+01,-2.65E+00
UA123,1530270000,3.62E+04,4.47E+01,-4.52E+01
UA135,1530270000,3.40E+04,4.97E+01,-1.51E+01
UA141,1530270000,3.40E+04,4.39E+01,-9.89E+00
UA15,1530270000,3.20E+04,5.40E+01,-1.58E+01
UA160,1530270000,3.20E+04,5.49E+01,-1.55E+01
UA162,1530270000,3.60E+04,5.44E+01,-3.15E+01
UA18,1530270000,3.60E+04,5.30E+01,-1.48E+01
UA21,1530270000,3.60E+04,5.29E+01,-1.27E+01
UA22,1530270000,3.60E+04,5.32E+01,-3.47E+01
UA24,1530270000,0.00E+00,5.16E+01,-1.12E+01
UA26,1530270000,1.34E+04,5.15E+01,-1.36E+00
UA41,1530270000,3.14E+04,4.76E+01,-1.45E+01
UA43,1530270000,3.20E+04,4.60E+01,-1.78E+00
UA45,1530270000,4.00E+04,6.21E+01,-2.73E+01
UA56,1530270000,3.20E+04,5.26E+01,-3.29E+01
UA65,1530270000,3.60E+04,4.12E+01,-1.72E+01
UA71,1530270000,3.20E+04,5.43E+01,-2.02E+01
UA865,1530270000,3.60E+04,5.24E+01,-3.40E+01
UA900,1530270000,3.10E+04,5.77E+01,-9.56E+00
UA945,1530270000,3.60E+04,6.11E+01,-5.39E+01
UA951,1530270000,3.40E+04,5.33E+01,-1.93E+00
UA957,1530270000,3.40E+04,4.58E+01,-2.81E+01
UA961,1530270000,3.20E+04,5.16E+01,-1.38E+00
UA963,1530270000,3.20E+04,5.40E+01,-2.22E+01
UA971,1530270000,3.40E+04,5.34E+01,-2.95E+00
UA973,1530270000,3.40E+04,5.55E+01,-8.61E+00
UA975,1530270000,3.20E+04,4.94E+01,-3.24E+00
UA986,1530270000,3.40E+04,5.21E+01,-4.65E+00
